k,n,last_verified_template_depth,first_q0_depth_from_collision_frontier,q0_pairs_at_first_depth,status
5,21,26,27,0-2;0-15,PASS
6,24,30,31,0-2;0-17,PASS
7,27,34,35,0-2;0-19,PASS
8,30,38,39,0-2;0-21,PASS
9,33,42,43,0-2;0-23,PASS
10,36,46,47,0-2;0-25,PASS
11,39,50,51,0-2;0-27,PASS
12,42,54,55,0-2;0-29,PASS
13,45,58,59,0-2;0-31,PASS
14,48,62,63,0-2;0-33,PASS
15,51,66,67,0-2;0-35,PASS
16,54,70,71,0-2;0-37,PASS
17,57,74,75,0-2;0-39,PASS
18,60,78,79,0-2;0-41,PASS
19,63,82,83,0-2;0-43,PASS
20,66,86,87,0-2;0-45,PASS
21,69,90,91,0-2;0-47,PASS
22,72,94,95,0-2;0-49,PASS
23,75,98,99,0-2;0-51,PASS
24,78,102,103,0-2;0-53,PASS
25,81,106,107,0-2;0-55,PASS
26,84,110,111,0-2;0-57,PASS
27,87,114,115,0-2;0-59,PASS
28,90,118,119,0-2;0-61,PASS
29,93,122,123,0-2;0-63,PASS
30,96,126,127,0-2;0-65,PASS
31,99,130,131,0-2;0-67,PASS
32,102,134,135,0-2;0-69,PASS
33,105,138,139,0-2;0-71,PASS
34,108,142,143,0-2;0-73,PASS
35,111,146,147,0-2;0-75,PASS
36,114,150,151,0-2;0-77,PASS
37,117,154,155,0-2;0-79,PASS
38,120,158,159,0-2;0-81,PASS
39,123,162,163,0-2;0-83,PASS
40,126,166,167,0-2;0-85,PASS
41,129,170,171,0-2;0-87,PASS
42,132,174,175,0-2;0-89,PASS
43,135,178,179,0-2;0-91,PASS
44,138,182,183,0-2;0-93,PASS
45,141,186,187,0-2;0-95,PASS
46,144,190,191,0-2;0-97,PASS
47,147,194,195,0-2;0-99,PASS
48,150,198,199,0-2;0-101,PASS
49,153,202,203,0-2;0-103,PASS
50,156,206,207,0-2;0-105,PASS
51,159,210,211,0-2;0-107,PASS
52,162,214,215,0-2;0-109,PASS
53,165,218,219,0-2;0-111,PASS
54,168,222,223,0-2;0-113,PASS
55,171,226,227,0-2;0-115,PASS
56,174,230,231,0-2;0-117,PASS
57,177,234,235,0-2;0-119,PASS
58,180,238,239,0-2;0-121,PASS
59,183,242,243,0-2;0-123,PASS
60,186,246,247,0-2;0-125,PASS
61,189,250,251,0-2;0-127,PASS
62,192,254,255,0-2;0-129,PASS
63,195,258,259,0-2;0-131,PASS
64,198,262,263,0-2;0-133,PASS
65,201,266,267,0-2;0-135,PASS
66,204,270,271,0-2;0-137,PASS
67,207,274,275,0-2;0-139,PASS
68,210,278,279,0-2;0-141,PASS
69,213,282,283,0-2;0-143,PASS
70,216,286,287,0-2;0-145,PASS
71,219,290,291,0-2;0-147,PASS
72,222,294,295,0-2;0-149,PASS
73,225,298,299,0-2;0-151,PASS
74,228,302,303,0-2;0-153,PASS
75,231,306,307,0-2;0-155,PASS
76,234,310,311,0-2;0-157,PASS
77,237,314,315,0-2;0-159,PASS
78,240,318,319,0-2;0-161,PASS
79,243,322,323,0-2;0-163,PASS
80,246,326,327,0-2;0-165,PASS
81,249,330,331,0-2;0-167,PASS
82,252,334,335,0-2;0-169,PASS
83,255,338,339,0-2;0-171,PASS
84,258,342,343,0-2;0-173,PASS
85,261,346,347,0-2;0-175,PASS
86,264,350,351,0-2;0-177,PASS
87,267,354,355,0-2;0-179,PASS
88,270,358,359,0-2;0-181,PASS
89,273,362,363,0-2;0-183,PASS
90,276,366,367,0-2;0-185,PASS
91,279,370,371,0-2;0-187,PASS
92,282,374,375,0-2;0-189,PASS
93,285,378,379,0-2;0-191,PASS
94,288,382,383,0-2;0-193,PASS
95,291,386,387,0-2;0-195,PASS
96,294,390,391,0-2;0-197,PASS
97,297,394,395,0-2;0-199,PASS
98,300,398,399,0-2;0-201,PASS
99,303,402,403,0-2;0-203,PASS
100,306,406,407,0-2;0-205,PASS
